id,question,reference_answer,generated_answer,retrieved_contexts,retrieved_sources,retrieval_distances,retrieval_time_seconds,generation_time_seconds,faithfulness,faithfulness_error,faithfulness_time_seconds,factual_correctness,factual_correctness_error,factual_correctness_time_seconds,semantic_similarity,semantic_similarity_error,semantic_similarity_time_seconds,question_time_seconds,evaluator_model,gpt56_faithfulness,gpt56_factual_correctness,gpt56_answer_relevancy,gpt56_factual_band,gpt56_judgment_note,qwen_minus_gpt56_faithfulness,qwen_minus_gpt56_factual_correctness
q023,Are alcoholic beverages covered by the standard meal allowance?,No.,No.,"[""## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:\n\n| Location | Maximum per meal |\n|---|---:|\n| Germany | EUR 35 |\n| Belgium | EUR 40 |\n| Spain | EUR 35 |\n| Pakistan | PKR 6,500 |\n\nAlcoholic beverages are not reimbursable under the standard meal allowance.\n\n## 4. Hotels\n\nHotel room-rate limits are **not defined by this policy**.\n\nFor hotel limits, employees must use the current **Business Travel Policy, HR-TRV-0173**.\n\nThis is intentional: the expense policy defines how claims are submitted, while the travel policy defines allowable hotel rates.\n\n## 5. Ground transportation"", ""## 8. Examples\n\n- A EUR 18 taxi expense does not require a receipt under the general receipt threshold, but the business purpose must still be recorded.\n- A EUR 28 meal requires a receipt.\n- A hotel claim should be checked against HR-TRV-0173, not against the meal limits in this document."", ""## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:\n\n| Location | Maximum reimbursable room rate per night |\n|---|---:|\n| Germany | EUR 160 |\n| Belgium | EUR 170 |\n| Spain | EUR 150 |\n| Pakistan | PKR 32,000 |\n\nThe limit applies to the room rate including mandatory hotel taxes, but excluding separately charged breakfast where breakfast is reimbursable under the expense policy.\n\nA higher rate may be reimbursed only if approved **before booking** by the employee's manager and the relevant cost-center owner.\n\n## 4. Historical limits — do not use for travel from 2026 onward""]","[""expense_policy.md"", ""expense_policy.md"", ""travel_policy.md""]","[0.6453301310539246, 0.7657477259635925, 0.8639583587646484]",0.051,1.12,1.0,,10.266,0.0,,7.127,1.0000000000000002,,0.181,18.745,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,-1.0000
q024,"If an employee wants to know whether a hotel rate is allowable, should they look up the meal limits in the expense policy or another policy?","They should use the current Business Travel Policy, HR-TRV-0173; hotel limits are not defined by the expense policy.",The answer is: look up the meal limits in the expense policy.,"[""## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:\n\n| Location | Maximum per meal |\n|---|---:|\n| Germany | EUR 35 |\n| Belgium | EUR 40 |\n| Spain | EUR 35 |\n| Pakistan | PKR 6,500 |\n\nAlcoholic beverages are not reimbursable under the standard meal allowance.\n\n## 4. Hotels\n\nHotel room-rate limits are **not defined by this policy**.\n\nFor hotel limits, employees must use the current **Business Travel Policy, HR-TRV-0173**.\n\nThis is intentional: the expense policy defines how claims are submitted, while the travel policy defines allowable hotel rates.\n\n## 5. Ground transportation"", ""# FakeCompanyABC Business Travel Policy\n\n## 1. Approval\n\nAll business travel must be approved by the employee's manager **before booking**.\n\nInternational travel additionally requires the cost center to be identified before booking.\n\n## 2. Air travel\n\nFor flights with a scheduled duration of **6 hours or less**, employees should book economy class.\n\nFor flights with a scheduled duration of **more than 6 hours**, premium economy may be booked with manager approval.\n\nBusiness class requires director-level approval and a documented business justification.\n\n## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:"", ""## 6. Booking channels\n\nEmployees should use the approved corporate travel provider when it is available for the destination.\n\nBookings made outside the approved channel must include a short justification when the expense claim is submitted.\n\n## 7. Exact identifier note\n\nThis policy is identified as **HR-TRV-0173**. Questions referring to \""TRV-0173\"", \""HR-TRV-0173\"", or \""travel policy 0173\"" refer to this policy.\n\n## 8. Examples""]","[""expense_policy.md"", ""travel_policy.md"", ""travel_policy.md""]","[0.5139807462692261, 0.5887783765792847, 0.6000404357910156]",0.064,1.393,0.0,,11.174,0.0,,9.786,0.7191754279585088,,0.128,22.545,GPT-5.6 Sol,0.00,0.00,1.00,Low,Uses the expense-policy meal limits instead of the Business Travel Policy HR-TRV-0173 for hotel limits.,0.0000,0.0000
q025,When can taxi or ride-hailing costs be reimbursed?,"When public transport is impractical, unavailable, or would create an unreasonable delay; the business reason should be included.","The context does not provide specific information about when taxi or ride-hailing costs can be reimbursed. However, it states that such expenses are reimbursable when public transport is impractical, unavailable, or would create an unreasonable delay, and that the business reason should be included in the expense claim. Therefore, the answer is: /no_chain_of_thought/.","[""## 5. Ground transportation\n\nReasonable public-transport expenses are reimbursable for approved business travel.\n\nTaxi or ride-hailing expenses are reimbursable when public transport is impractical, unavailable, or would create an unreasonable delay. The business reason should be included in the expense claim.\n\n## 6. Personal purchases\n\nPersonal purchases are not reimbursable.\n\nIf a receipt contains both business and personal items, only the business portion may be claimed.\n\n## 7. Reimbursement timing\n\nApproved expenses are normally reimbursed with the next available payroll cycle after finance completes review.\n\n## 8. Examples"", ""# FakeCompanyABC Expense Reimbursement Policy\n\n## 1. Submission deadline\n\nEmployees must normally submit business-expense claims within **30 calendar days** of the expense date.\n\nClaims submitted after 30 days require an explanation and may require additional approval.\n\n## 2. Receipts\n\nA receipt is required for any individual expense above:\n\n- **EUR 20** for expenses paid in euros;\n- **PKR 6,000** for expenses paid in Pakistani rupees.\n\nFor lower-value expenses without a receipt, the employee must still provide the date, amount, and business purpose.\n\n## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:"", ""## 8. Examples\n\n- A EUR 18 taxi expense does not require a receipt under the general receipt threshold, but the business purpose must still be recorded.\n- A EUR 28 meal requires a receipt.\n- A hotel claim should be checked against HR-TRV-0173, not against the meal limits in this document.""]","[""expense_policy.md"", ""expense_policy.md"", ""expense_policy.md""]","[0.43727907538414, 0.6382589936256409, 0.6515538096427917]",0.053,2.736,0.6666666666666666,,17.399,0.0,,12.346,0.8087041107250774,,0.162,32.696,GPT-5.6 Sol,0.67,0.75,0.75,Partial,"The substantive taxi/ride-hailing conditions are correct, but the response falsely says the context lacks the information and ends with a control token.",-0.0033,-0.7500
q026,A single receipt contains both a client-related purchase and a personal item. What portion can be claimed?,Only the business portion may be claimed.,The portion that can be claimed is the business portion of the receipt.,"[""## 8. Examples\n\n- A EUR 18 taxi expense does not require a receipt under the general receipt threshold, but the business purpose must still be recorded.\n- A EUR 28 meal requires a receipt.\n- A hotel claim should be checked against HR-TRV-0173, not against the meal limits in this document."", ""## 5. Ground transportation\n\nReasonable public-transport expenses are reimbursable for approved business travel.\n\nTaxi or ride-hailing expenses are reimbursable when public transport is impractical, unavailable, or would create an unreasonable delay. The business reason should be included in the expense claim.\n\n## 6. Personal purchases\n\nPersonal purchases are not reimbursable.\n\nIf a receipt contains both business and personal items, only the business portion may be claimed.\n\n## 7. Reimbursement timing\n\nApproved expenses are normally reimbursed with the next available payroll cycle after finance completes review.\n\n## 8. Examples"", ""# FakeCompanyABC Expense Reimbursement Policy\n\n## 1. Submission deadline\n\nEmployees must normally submit business-expense claims within **30 calendar days** of the expense date.\n\nClaims submitted after 30 days require an explanation and may require additional approval.\n\n## 2. Receipts\n\nA receipt is required for any individual expense above:\n\n- **EUR 20** for expenses paid in euros;\n- **PKR 6,000** for expenses paid in Pakistani rupees.\n\nFor lower-value expenses without a receipt, the employee must still provide the date, amount, and business purpose.\n\n## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:""]","[""expense_policy.md"", ""expense_policy.md"", ""expense_policy.md""]","[0.5957726240158081, 0.6161664128303528, 0.6713390350341797]",0.065,0.682,0.5,,12.618,1.0,,8.537,0.9336295095558119,,0.105,22.007,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",-0.5000,0.0000
q027,"After finance finishes reviewing an approved claim, when is reimbursement normally made?",With the next available payroll cycle.,"After finance completes reviewing an approved claim, reimbursement is normally made with the next available payroll cycle.","[""# FakeCompanyABC Expense Reimbursement Policy\n\n## 1. Submission deadline\n\nEmployees must normally submit business-expense claims within **30 calendar days** of the expense date.\n\nClaims submitted after 30 days require an explanation and may require additional approval.\n\n## 2. Receipts\n\nA receipt is required for any individual expense above:\n\n- **EUR 20** for expenses paid in euros;\n- **PKR 6,000** for expenses paid in Pakistani rupees.\n\nFor lower-value expenses without a receipt, the employee must still provide the date, amount, and business purpose.\n\n## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:"", ""## 5. Ground transportation\n\nReasonable public-transport expenses are reimbursable for approved business travel.\n\nTaxi or ride-hailing expenses are reimbursable when public transport is impractical, unavailable, or would create an unreasonable delay. The business reason should be included in the expense claim.\n\n## 6. Personal purchases\n\nPersonal purchases are not reimbursable.\n\nIf a receipt contains both business and personal items, only the business portion may be claimed.\n\n## 7. Reimbursement timing\n\nApproved expenses are normally reimbursed with the next available payroll cycle after finance completes review.\n\n## 8. Examples"", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.""]","[""expense_policy.md"", ""expense_policy.md"", ""parental_leave.md""]","[0.5710335373878479, 0.6119937896728516, 0.7609149813652039]",0.048,0.803,1.0,,13.537,0.67,,10.511,0.7729151898671336,,0.09,24.989,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,-0.3300
q028,A EUR 28 meal is being claimed. Does the example policy require a receipt?,Yes.,The example policy requires a receipt for a EUR 28 meal.,"[""## 8. Examples\n\n- A EUR 18 taxi expense does not require a receipt under the general receipt threshold, but the business purpose must still be recorded.\n- A EUR 28 meal requires a receipt.\n- A hotel claim should be checked against HR-TRV-0173, not against the meal limits in this document."", ""# FakeCompanyABC Expense Reimbursement Policy\n\n## 1. Submission deadline\n\nEmployees must normally submit business-expense claims within **30 calendar days** of the expense date.\n\nClaims submitted after 30 days require an explanation and may require additional approval.\n\n## 2. Receipts\n\nA receipt is required for any individual expense above:\n\n- **EUR 20** for expenses paid in euros;\n- **PKR 6,000** for expenses paid in Pakistani rupees.\n\nFor lower-value expenses without a receipt, the employee must still provide the date, amount, and business purpose.\n\n## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:"", ""## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:\n\n| Location | Maximum per meal |\n|---|---:|\n| Germany | EUR 35 |\n| Belgium | EUR 40 |\n| Spain | EUR 35 |\n| Pakistan | PKR 6,500 |\n\nAlcoholic beverages are not reimbursable under the standard meal allowance.\n\n## 4. Hotels\n\nHotel room-rate limits are **not defined by this policy**.\n\nFor hotel limits, employees must use the current **Business Travel Policy, HR-TRV-0173**.\n\nThis is intentional: the expense policy defines how claims are submitted, while the travel policy defines allowable hotel rates.\n\n## 5. Ground transportation""]","[""expense_policy.md"", ""expense_policy.md"", ""expense_policy.md""]","[0.3729742467403412, 0.586949348449707, 0.5907382369041443]",0.046,1.554,1.0,,10.251,1.0,,7.551,0.5660553125442145,,0.089,19.492,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
q029,Can a purely personal purchase be reimbursed through the business-expense process?,No.,No.,"[""## 5. Ground transportation\n\nReasonable public-transport expenses are reimbursable for approved business travel.\n\nTaxi or ride-hailing expenses are reimbursable when public transport is impractical, unavailable, or would create an unreasonable delay. The business reason should be included in the expense claim.\n\n## 6. Personal purchases\n\nPersonal purchases are not reimbursable.\n\nIf a receipt contains both business and personal items, only the business portion may be claimed.\n\n## 7. Reimbursement timing\n\nApproved expenses are normally reimbursed with the next available payroll cycle after finance completes review.\n\n## 8. Examples"", ""# FakeCompanyABC Expense Reimbursement Policy\n\n## 1. Submission deadline\n\nEmployees must normally submit business-expense claims within **30 calendar days** of the expense date.\n\nClaims submitted after 30 days require an explanation and may require additional approval.\n\n## 2. Receipts\n\nA receipt is required for any individual expense above:\n\n- **EUR 20** for expenses paid in euros;\n- **PKR 6,000** for expenses paid in Pakistani rupees.\n\nFor lower-value expenses without a receipt, the employee must still provide the date, amount, and business purpose.\n\n## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:"", ""## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:\n\n| Location | Maximum per meal |\n|---|---:|\n| Germany | EUR 35 |\n| Belgium | EUR 40 |\n| Spain | EUR 35 |\n| Pakistan | PKR 6,500 |\n\nAlcoholic beverages are not reimbursable under the standard meal allowance.\n\n## 4. Hotels\n\nHotel room-rate limits are **not defined by this policy**.\n\nFor hotel limits, employees must use the current **Business Travel Policy, HR-TRV-0173**.\n\nThis is intentional: the expense policy defines how claims are submitted, while the travel policy defines allowable hotel rates.\n\n## 5. Ground transportation""]","[""expense_policy.md"", ""expense_policy.md"", ""expense_policy.md""]","[0.4445616602897644, 0.6086240410804749, 0.7137850522994995]",0.046,0.868,1.0,,10.48,0.0,,7.257,1.0000000000000002,,0.076,18.728,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,-1.0000
q030,Why are hotel limits intentionally absent from the expense policy?,"Because the expense policy governs how claims are submitted, while the Business Travel Policy defines allowable hotel rates.",The expense policy does not define hotel limits.,"[""## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:\n\n| Location | Maximum reimbursable room rate per night |\n|---|---:|\n| Germany | EUR 160 |\n| Belgium | EUR 170 |\n| Spain | EUR 150 |\n| Pakistan | PKR 32,000 |\n\nThe limit applies to the room rate including mandatory hotel taxes, but excluding separately charged breakfast where breakfast is reimbursable under the expense policy.\n\nA higher rate may be reimbursed only if approved **before booking** by the employee's manager and the relevant cost-center owner.\n\n## 4. Historical limits — do not use for travel from 2026 onward"", ""## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:\n\n| Location | Maximum per meal |\n|---|---:|\n| Germany | EUR 35 |\n| Belgium | EUR 40 |\n| Spain | EUR 35 |\n| Pakistan | PKR 6,500 |\n\nAlcoholic beverages are not reimbursable under the standard meal allowance.\n\n## 4. Hotels\n\nHotel room-rate limits are **not defined by this policy**.\n\nFor hotel limits, employees must use the current **Business Travel Policy, HR-TRV-0173**.\n\nThis is intentional: the expense policy defines how claims are submitted, while the travel policy defines allowable hotel rates.\n\n## 5. Ground transportation"", ""## 8. Examples\n\n- A hotel in Germany costing EUR 155 per night is within the 2026 standard limit.\n- A Germany hotel costing EUR 145 per night was above the standard 2025 limit but is below the 2026 limit.\n- A Spain hotel costing EUR 158 per night in 2026 requires advance approval because the standard limit is EUR 150.""]","[""travel_policy.md"", ""expense_policy.md"", ""travel_policy.md""]","[0.5718507766723633, 0.5998533368110657, 0.6126514077186584]",0.042,1.866,0.0,,10.213,0.5,,10.839,0.8176298226130908,,0.184,23.145,GPT-5.6 Sol,1.00,0.50,0.50,Partial,"Correctly says the expense policy does not define hotel limits, but does not explain the intended split between expense-claim rules and travel-rate rules.",-1.0000,0.0000
q031,"If local law grants a better parental-leave entitlement than the company document, which one controls?",Local law takes precedence.,"The company document controls the parental-leave entitlement, as local law takes precedence.","[""# FakeCompanyABC Parental Leave and Return-to-Work Policy\n\n## 1. Scope\n\nThis document describes FakeCompanyABC's internal notification and return-to-work procedures related to parental leave.\n\nIt does **not** replace statutory parental-leave rights. Where local law provides a greater entitlement or different requirement, local law takes precedence.\n\n## 2. Notification\n\nEmployees should notify HR and their manager as early as reasonably possible when planning parental leave.\n\nWhere a specific statutory notice period applies, the statutory requirement must be followed.\n\n## 3. Company-paid transition days"", ""All annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation\n\nEmployees may request annual leave during probation, but approval depends on business needs and manager approval. The annual entitlement itself is not reduced because an employee is on probation.\n\n## 6. Important interpretation note\n\nThe annual entitlement is based on the employee's **contractual work location**, not nationality, citizenship, or the country from which the employee happens to work temporarily.\n\n## 7. Examples"", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.""]","[""parental_leave.md"", ""annual_leave.md"", ""parental_leave.md""]","[0.5757505893707275, 0.6837478876113892, 0.6908219456672668]",0.052,1.714,0.5,,12.269,0.67,,9.608,0.7426261529086549,,0.156,23.799,GPT-5.6 Sol,0.50,0.50,0.75,Partial,"Self-contradictory: it first says the company document controls, then correctly says local law takes precedence.",0.0000,0.1700
q032,Who should an employee inform when planning parental leave?,"HR and their manager, as early as reasonably possible.",The employee should inform HR and their manager as early as reasonably possible when planning parental leave.,"[""# FakeCompanyABC Parental Leave and Return-to-Work Policy\n\n## 1. Scope\n\nThis document describes FakeCompanyABC's internal notification and return-to-work procedures related to parental leave.\n\nIt does **not** replace statutory parental-leave rights. Where local law provides a greater entitlement or different requirement, local law takes precedence.\n\n## 2. Notification\n\nEmployees should notify HR and their manager as early as reasonably possible when planning parental leave.\n\nWhere a specific statutory notice period applies, the statutory requirement must be followed.\n\n## 3. Company-paid transition days"", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules."", ""All annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation\n\nEmployees may request annual leave during probation, but approval depends on business needs and manager approval. The annual entitlement itself is not reduced because an employee is on probation.\n\n## 6. Important interpretation note\n\nThe annual entitlement is based on the employee's **contractual work location**, not nationality, citizenship, or the country from which the employee happens to work temporarily.\n\n## 7. Examples""]","[""parental_leave.md"", ""parental_leave.md"", ""annual_leave.md""]","[0.4864880442619324, 0.5800477266311646, 0.678108811378479]",0.077,1.406,1.0,,10.247,1.0,,9.91,0.7785912853355842,,0.172,21.813,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
q033,"If legislation sets a specific parental-leave notice period, can the company’s general “as early as possible” wording replace it?",No. The statutory notice requirement must be followed.,No.,"[""# FakeCompanyABC Parental Leave and Return-to-Work Policy\n\n## 1. Scope\n\nThis document describes FakeCompanyABC's internal notification and return-to-work procedures related to parental leave.\n\nIt does **not** replace statutory parental-leave rights. Where local law provides a greater entitlement or different requirement, local law takes precedence.\n\n## 2. Notification\n\nEmployees should notify HR and their manager as early as reasonably possible when planning parental leave.\n\nWhere a specific statutory notice period applies, the statutory requirement must be followed.\n\n## 3. Company-paid transition days"", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules."", ""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date.""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.530584990978241, 0.5714291930198669, 0.6307726502418518]",0.07,0.776,1.0,,15.761,0.67,,7.62,0.661616727525278,,0.078,24.305,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,-0.3300
q034,What length of continuous service is required before an eligible full-time employee may receive company-paid transition days?,At least 12 months of continuous service.,5,"[""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation""]","[""parental_leave.md"", ""parental_leave.md"", ""annual_leave.md""]","[0.3395160436630249, 0.35421037673950195, 0.6189751029014587]",0.055,1.614,1.0,,11.406,0.0,,8.108,0.5584345241779233,,0.086,21.271,GPT-5.6 Sol,0.00,0.00,1.00,Low,Returns 5 instead of the required 12 months of continuous service.,1.0000,0.0000
q035,What is the maximum number of company-paid transition days for an eligible full-time employee?,Up to 5 days.,The maximum number of company-paid transition days for an eligible full-time employee is 5.,"[""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation""]","[""parental_leave.md"", ""parental_leave.md"", ""annual_leave.md""]","[0.37304970622062683, 0.42234572768211365, 0.634746789932251]",0.053,0.704,1.0,,10.339,1.0,,9.095,0.6705706929822732,,0.176,20.366,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
q036,A full-time employee has 18 months of continuous service when a child is born. What company-paid transition-day benefit may they receive?,Up to 5 company-paid transition days.,The full-time employee with 18 months of continuous service may receive up to 5 company-paid transition days.,"[""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.334521621465683, 0.46864914894104004, 0.6826815009117126]",0.063,1.128,1.0,,15.591,1.0,,9.869,0.8741763538566311,,0.101,26.753,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
