id,question,reference_answer,generated_answer,retrieved_contexts,retrieved_sources,retrieval_distances,tfidf_mode,tfidf_candidate_sources,tfidf_lexical_ranking,retrieval_time_seconds,generation_time_seconds,faithfulness,faithfulness_error,faithfulness_time_seconds,factual_correctness,factual_correctness_error,factual_correctness_time_seconds,semantic_similarity,semantic_similarity_error,semantic_similarity_time_seconds,question_time_seconds,evaluator_model,gpt56_faithfulness,gpt56_factual_correctness,gpt56_answer_relevancy,gpt56_factual_band,gpt56_judgment_note,qwen_minus_gpt56_faithfulness,qwen_minus_gpt56_factual_correctness
q030,Why are hotel limits intentionally absent from the expense policy?,"Because the expense policy governs how claims are submitted, while the Business Travel Policy defines allowable hotel rates.",The expense policy does not define hotel limits.,"[""## 3. Hotel limits — current policy\n\nThe following nightly hotel limits apply from **1 January 2026**:\n\n| Location | Maximum reimbursable room rate per night |\n|---|---:|\n| Germany | EUR 160 |\n| Belgium | EUR 170 |\n| Spain | EUR 150 |\n| Pakistan | PKR 32,000 |\n\nThe limit applies to the room rate including mandatory hotel taxes, but excluding separately charged breakfast where breakfast is reimbursable under the expense policy.\n\nA higher rate may be reimbursed only if approved **before booking** by the employee's manager and the relevant cost-center owner.\n\n## 4. Historical limits — do not use for travel from 2026 onward"", ""## 3. Meals during business travel\n\nThe standard maximum reimbursable meal expense per person is:\n\n| Location | Maximum per meal |\n|---|---:|\n| Germany | EUR 35 |\n| Belgium | EUR 40 |\n| Spain | EUR 35 |\n| Pakistan | PKR 6,500 |\n\nAlcoholic beverages are not reimbursable under the standard meal allowance.\n\n## 4. Hotels\n\nHotel room-rate limits are **not defined by this policy**.\n\nFor hotel limits, employees must use the current **Business Travel Policy, HR-TRV-0173**.\n\nThis is intentional: the expense policy defines how claims are submitted, while the travel policy defines allowable hotel rates.\n\n## 5. Ground transportation"", ""## 8. Examples\n\n- A hotel in Germany costing EUR 155 per night is within the 2026 standard limit.\n- A Germany hotel costing EUR 145 per night was above the standard 2025 limit but is below the 2026 limit.\n- A Spain hotel costing EUR 158 per night in 2026 requires advance approval because the standard limit is EUR 150.""]","[""travel_policy.md"", ""expense_policy.md"", ""travel_policy.md""]","[0.5718507766723633, 0.5998533368110657, 0.6126514077186584]",ambiguous_signal_full_corpus,,"[{""source"": ""expense_policy.md"", ""score"": 0.249258}, {""source"": ""travel_policy.md"", ""score"": 0.215632}, {""source"": ""annual_leave.md"", ""score"": 0.0}, {""source"": ""parental_leave.md"", ""score"": 0.0}, {""source"": ""remote_work.md"", ""score"": 0.0}]",0.054,1.944,0.0,,11.162,0.5,,11.408,0.8176298226130908,,0.105,24.673,GPT-5.6 Sol,1.0,0.5,0.5,partial,"Correctly says the expense policy does not define hotel limits, but does not explain the intended split between expense-claim rules and travel-rate rules.",-1.0,0.0
q031,"If local law grants a better parental-leave entitlement than the company document, which one controls?",Local law takes precedence.,The context does not provide information about local law granting a better parental-leave entitlement than the company document.,"[""# FakeCompanyABC Parental Leave and Return-to-Work Policy\n\n## 1. Scope\n\nThis document describes FakeCompanyABC's internal notification and return-to-work procedures related to parental leave.\n\nIt does **not** replace statutory parental-leave rights. Where local law provides a greater entitlement or different requirement, local law takes precedence.\n\n## 2. Notification\n\nEmployees should notify HR and their manager as early as reasonably possible when planning parental leave.\n\nWhere a specific statutory notice period applies, the statutory requirement must be followed.\n\n## 3. Company-paid transition days"", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules."", ""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date.""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.5757505893707275, 0.6908219456672668, 0.7341625690460205]",tfidf_filtered,"[""parental_leave.md""]","[{""source"": ""parental_leave.md"", ""score"": 0.38694}, {""source"": ""annual_leave.md"", ""score"": 0.185841}, {""source"": ""expense_policy.md"", ""score"": 0.009593}, {""source"": ""remote_work.md"", ""score"": 0.00867}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.06,2.06,0.0,,11.555,0.0,,10.722,0.7287257251630254,,0.096,24.494,GPT-5.6 Sol,0.0,0.0,0.25,incorrect,Incorrectly says the context lacks the rule; the retrieved parental-leave policy explicitly states that local law takes precedence when it provides a greater entitlement or different requirement.,0.0,0.0
q032,Who should an employee inform when planning parental leave?,"HR and their manager, as early as reasonably possible.",The employee should inform HR and their manager as early as reasonably possible when planning parental leave.,"[""# FakeCompanyABC Parental Leave and Return-to-Work Policy\n\n## 1. Scope\n\nThis document describes FakeCompanyABC's internal notification and return-to-work procedures related to parental leave.\n\nIt does **not** replace statutory parental-leave rights. Where local law provides a greater entitlement or different requirement, local law takes precedence.\n\n## 2. Notification\n\nEmployees should notify HR and their manager as early as reasonably possible when planning parental leave.\n\nWhere a specific statutory notice period applies, the statutory requirement must be followed.\n\n## 3. Company-paid transition days"", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules."", ""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date.""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.4864880442619324, 0.5800477266311646, 0.6863229274749756]",tfidf_filtered,"[""parental_leave.md""]","[{""source"": ""parental_leave.md"", ""score"": 0.371431}, {""source"": ""annual_leave.md"", ""score"": 0.167807}, {""source"": ""expense_policy.md"", ""score"": 0.0}, {""source"": ""remote_work.md"", ""score"": 0.0}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.061,0.728,1.0,,10.887,1.0,,10.615,0.7785912853355842,,0.1,22.391,GPT-5.6 Sol,1.0,1.0,1.0,correct,HR and manager notification is explicitly stated in the new parental-leave context.,0.0,0.0
q033,"If legislation sets a specific parental-leave notice period, can the company’s general “as early as possible” wording replace it?",No. The statutory notice requirement must be followed.,No.,"[""# FakeCompanyABC Parental Leave and Return-to-Work Policy\n\n## 1. Scope\n\nThis document describes FakeCompanyABC's internal notification and return-to-work procedures related to parental leave.\n\nIt does **not** replace statutory parental-leave rights. Where local law provides a greater entitlement or different requirement, local law takes precedence.\n\n## 2. Notification\n\nEmployees should notify HR and their manager as early as reasonably possible when planning parental leave.\n\nWhere a specific statutory notice period applies, the statutory requirement must be followed.\n\n## 3. Company-paid transition days"", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules."", ""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date.""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.530584990978241, 0.5714291930198669, 0.6307726502418518]",tfidf_filtered,"[""parental_leave.md""]","[{""source"": ""parental_leave.md"", ""score"": 0.307293}, {""source"": ""annual_leave.md"", ""score"": 0.110888}, {""source"": ""expense_policy.md"", ""score"": 0.012452}, {""source"": ""remote_work.md"", ""score"": 0.0}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.068,0.482,0.0,,14.864,0.67,,8.536,0.661616727525278,,0.201,24.151,GPT-5.6 Sol,1.0,1.0,1.0,correct,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",-1.0,-0.32999999999999996
q034,What length of continuous service is required before an eligible full-time employee may receive company-paid transition days?,At least 12 months of continuous service.,The length of continuous service required before an eligible full-time employee may receive company-paid transition days is **12 months**.,"[""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.3395160436630249, 0.35421037673950195, 0.6263896226882935]",tfidf_filtered,"[""parental_leave.md""]","[{""source"": ""parental_leave.md"", ""score"": 0.430245}, {""source"": ""annual_leave.md"", ""score"": 0.077194}, {""source"": ""remote_work.md"", ""score"": 0.028488}, {""source"": ""expense_policy.md"", ""score"": 0.023948}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.061,1.998,1.0,,11.562,1.0,,12.514,0.8328606646341749,,0.109,26.244,GPT-5.6 Sol,1.0,1.0,1.0,correct,Correctly gives the required 12 months of continuous service; directly supported.,0.0,0.0
q035,What is the maximum number of company-paid transition days for an eligible full-time employee?,Up to 5 days.,The maximum number of company-paid transition days for an eligible full-time employee is 5.,"[""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.37304970622062683, 0.42234572768211365, 0.6829546689987183]",tfidf_filtered,"[""parental_leave.md""]","[{""source"": ""parental_leave.md"", ""score"": 0.414537}, {""source"": ""annual_leave.md"", ""score"": 0.078647}, {""source"": ""remote_work.md"", ""score"": 0.031558}, {""source"": ""expense_policy.md"", ""score"": 0.029792}, {""source"": ""travel_policy.md"", ""score"": 0.007551}]",0.056,1.242,1.0,,11.936,1.0,,10.02,0.6705706929822732,,0.097,23.352,GPT-5.6 Sol,1.0,1.0,1.0,correct,The 5 transition-day maximum is explicitly stated in the new parental-leave context.,0.0,0.0
q036,A full-time employee has 18 months of continuous service when a child is born. What company-paid transition-day benefit may they receive?,Up to 5 company-paid transition days.,The full-time employee with 18 months of continuous service may receive up to 5 company-paid transition days.,"[""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.334521621465683, 0.46864914894104004, 0.6826815009117126]",tfidf_filtered,"[""parental_leave.md""]","[{""source"": ""parental_leave.md"", ""score"": 0.352811}, {""source"": ""annual_leave.md"", ""score"": 0.045253}, {""source"": ""expense_policy.md"", ""score"": 0.016576}, {""source"": ""remote_work.md"", ""score"": 0.0}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.069,0.882,1.0,,12.161,1.0,,10.263,0.8741763538566311,,0.107,23.483,GPT-5.6 Sol,1.0,1.0,1.0,correct,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0,0.0
q037,A full-time employee has only 8 months of continuous service. Are they eligible for the company-paid transition days under this policy?,"No, although statutory rights may still apply.","No, the employee is not eligible for the company-paid transition days under this policy.","[""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date."", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.29440441727638245, 0.33114543557167053, 0.6086901426315308]",tfidf_filtered,"[""parental_leave.md""]","[{""source"": ""parental_leave.md"", ""score"": 0.418604}, {""source"": ""annual_leave.md"", ""score"": 0.054804}, {""source"": ""remote_work.md"", ""score"": 0.020141}, {""source"": ""expense_policy.md"", ""score"": 0.015363}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.067,1.632,1.0,,11.542,1.0,,9.963,0.6626598780027502,,0.102,23.305,GPT-5.6 Sol,1.0,1.0,1.0,correct,Correctly answers that 8 months of service is insufficient for company-paid transition days; core requested conclusion is complete and supported.,0.0,0.0
q038,Do the company-paid transition days reduce the employee’s annual-leave balance?,No.,The company-paid transition days do not reduce the employee’s annual-leave balance.,"[""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date."", ""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward""]","[""parental_leave.md"", ""parental_leave.md"", ""annual_leave.md""]","[0.3633154332637787, 0.3921217620372772, 0.5653879046440125]",tfidf_filtered,"[""parental_leave.md"", ""annual_leave.md""]","[{""source"": ""parental_leave.md"", ""score"": 0.494066}, {""source"": ""annual_leave.md"", ""score"": 0.323883}, {""source"": ""remote_work.md"", ""score"": 0.026177}, {""source"": ""expense_policy.md"", ""score"": 0.019968}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.059,1.086,0.0,,11.302,0.0,,9.667,0.5887521796903008,,0.093,22.207,GPT-5.6 Sol,1.0,1.0,1.0,correct,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",-1.0,-1.0
q039,For how long can a returning employee request a temporary reduced-work schedule?,Up to 8 weeks.,The temporary reduced-work schedule can be requested for up to 8 weeks.,"[""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date."", ""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204.""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.38935479521751404, 0.4242295026779175, 0.4807412624359131]",tfidf_filtered,"[""parental_leave.md""]","[{""source"": ""parental_leave.md"", ""score"": 0.185885}, {""source"": ""remote_work.md"", ""score"": 0.101561}, {""source"": ""annual_leave.md"", ""score"": 0.037805}, {""source"": ""expense_policy.md"", ""score"": 0.0}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.052,1.385,1.0,,10.852,1.0,,8.704,0.7540711105590725,,0.096,21.089,GPT-5.6 Sol,1.0,1.0,1.0,correct,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0,0.0
q040,How far before the planned return date should a request for a temporary reduced-work schedule normally be submitted?,At least 4 weeks before the planned return date.,The request for a temporary reduced-work schedule should normally be submitted at least **4 weeks before** the planned return date.,"[""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules."", ""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204.""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.3959420323371887, 0.45496612787246704, 0.6011978387832642]",tfidf_filtered,"[""parental_leave.md""]","[{""source"": ""parental_leave.md"", ""score"": 0.201469}, {""source"": ""remote_work.md"", ""score"": 0.085393}, {""source"": ""annual_leave.md"", ""score"": 0.035809}, {""source"": ""expense_policy.md"", ""score"": 0.019992}, {""source"": ""travel_policy.md"", ""score"": 0.004324}]",0.055,1.999,1.0,,12.026,1.0,,10.175,0.8265380287519858,,0.103,24.359,GPT-5.6 Sol,1.0,1.0,1.0,correct,Correctly gives at least 4 weeks before the planned return date.,0.0,0.0
q041,What factors determine whether a temporary reduced-work request after parental leave is approved?,"Role requirements, local law, and agreement with HR and the employee’s manager.","The factors that determine whether a temporary reduced-work request after parental leave is approved are the employee's role requirements, local law, and agreement with HR and their manager.","[""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules."", ""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date."", ""# FakeCompanyABC Parental Leave and Return-to-Work Policy\n\n## 1. Scope\n\nThis document describes FakeCompanyABC's internal notification and return-to-work procedures related to parental leave.\n\nIt does **not** replace statutory parental-leave rights. Where local law provides a greater entitlement or different requirement, local law takes precedence.\n\n## 2. Notification\n\nEmployees should notify HR and their manager as early as reasonably possible when planning parental leave.\n\nWhere a specific statutory notice period applies, the statutory requirement must be followed.\n\n## 3. Company-paid transition days""]","[""parental_leave.md"", ""parental_leave.md"", ""parental_leave.md""]","[0.4644721746444702, 0.5471908450126648, 0.5951592922210693]",tfidf_filtered,"[""parental_leave.md""]","[{""source"": ""parental_leave.md"", ""score"": 0.402249}, {""source"": ""annual_leave.md"", ""score"": 0.179925}, {""source"": ""remote_work.md"", ""score"": 0.117263}, {""source"": ""expense_policy.md"", ""score"": 0.0}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.048,1.263,1.0,,19.373,1.0,,20.756,0.7127785325721014,,0.147,41.587,GPT-5.6 Sol,1.0,1.0,1.0,correct,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0,0.0
